,Random Forest,XGBoost,Gradient Boosting,Logistic Regression,SVM
accuracy,0.4,0.7,0.7,0.5,0.5
precision,0.6533333333333333,0.6833333333333333,0.65,0.6333333333333333,0.6
recall,0.4,0.7,0.7,0.5,0.5
f1,0.38333333333333336,0.6621212121212121,0.6666666666666667,0.53,0.5454545454545454
mcc,0.32791291789197646,0.5738476063109589,0.5085476277156078,0.3086066999241838,0.23836564731139806
auc,0.7027777777777777,0.7333333333333332,0.7555555555555555,0.6000000000000001,0.6583333333333334
